parentCompanyName,facilityName,2011 (kg),2016 (kg),2021 (kg)
AIR LIQUIDE LARGE INDUSTRY,AIR LIQUIDE LARGE INDUSTRY,742161000.0,591151000.0,1028194000.0
ARCELORMITTAL BELGIUM,ARCELORMITTAL BELGIUM - GENT,3713660600.0,4173847000.0,3651097000.0
ARGEX,ARGEX,1262000.0,1010000.0,1224100.0
BASF Antwerpen,BASF ANTWERPEN,2884586000.0,3112421900.0,2962239000.0
BIOWANZE,BIOWANZE,457246000.0,514221000.0,581226900.0
BURGO ARDENNES,BURGO ARDENNES,1101921100.0,1091928500.0,1121907600.0
CARRIERES ET FOURS A CHAUX DUMONT-WAUTIER,CARRIERES ET FOURS A CHAUX DUMONT WAUTIER,1191410000.0,1040990000.0,396698000.0
"COMPAGNIE DES CIMENTS BELGES, C.C.B.",CCB - Site de Gaurain-Ramecroix,1413909800.0,1152747800.0,1222809500.0
ELECTRABEL,ELECTRABEL - CENTRALE BAUDOUR/St GHISLAINELECTRABEL - CENTRALE D'AMERCOEURELECTRABEL CENTRALE RODENHUIZEElectrabel - Centrale Knippegroen,6508877100.0,7976428400.0,7041222800.0
EUROCHEM ANTWERPEN,EUROCHEM ANTWERPEN,0.0,1295000.0,1478000.0
EVONIK ANTWERPEN,EVONIK ANTWERPEN,504567600.0,534725600.0,532083700.0
EXXONMOBIL PETROLEUM & CHEMICAL,EXXONMOBIL PETROLEUM & CHEMICAL - ESSO RAFFINADERIJ,1946179000.0,1935667000.0,2202612900.0
HOLCIM (BELGIQUE) - HOLCIM (BELGIE),HOLCIM Belgique - Usine d'OBOURG,1274675700.0,990467500.0,1073538800.0
Heidelbergcement,CBR sa - Site d'AntoingCBR sa - Site de Lixhe,1762373500.0,1934712300.0,2093376800.0
I.B.V. et Cie  ((IBV et Cie)),INDUSTRIE DU BOIS VIELSALM & CIE - IBV,404263000.0,525304000.0,311439000.0
INOVYN Manufacturing Belgium,INOVYN Manufacturing Belgium,21100.0,35000.0,478213100.0
Luminus,LUMINUS,443000000.0,550236000.0,567177000.0
STORA ENSO LANGERBRUGGE,STORA ENSO LANGERBRUGGE,597275000.0,671256000.0,610298000.0
T-POWER,T POWER,390000000.0,920114000.0,558173000.0
TotalEnergies Olefins Antwerp,TotalEnergies Olefins Antwerp,1151713000.0,702025000.0,777894000.0
TotalEnergies Refinery Antwerp,TotalEnergies Refinery Antwerp,3280602200.0,3730901000.0,3798133100.0
UMICORE,UMICORE - HOBOKEN,208476000.0,206057000.0,213366000.0
WIENERBERGER,WIENERBERGER,1317000.0,984000.0,1121000.0
ZANDVLIET POWER,ZANDVLIET POWER - TERREIN BASF,943285000.0,798411000.0,618398000.0
