city,cost_2021
Antwerpen,2226697179
Gent,1859324153
Malmedy,694007232
Obourg,269452000
Gaurain-Ramecroix,235492576
Antoing,195195872
Lixhe,180051568
Virton,178010832
Zwijndrecht,174500339
Beveren,104841056
Roux,101475648
Tessenderlo,86622050
Vielsalm,81751544
Wanze,70461280
Beerse,68992027
Bruxelles,64803187
Saint-Georges-Sur-Meuse,63141996
Ham,62449515
Baudour,59909400
Jemeppe-Sur-Sambre,58444900
Aisemont,57556652
Drogenbos,55251748
Marche-En-Famenne,51594944
Geel,50151034
Feluy,43751504
Balen,40936184
Seraing,39516180
Genk,38332670
Engis,37867912
Brugge,37656961
Oostrozebeke,35788120
Forest,33730836
Goutroux,33721356
Châtelet,32060070
Wielsbeke,31682438
Tertre,29435786
Moha,28984616
Ghlin,28730120
Oostende,28522774
Visé,24559430
Dendermonde,24341382
Rumst,23759462
Lanaken,21142676
Aalst,21103040
Lessines,20294162
Zelzate,16829172
Mol,16726749
Aiseau,16643120
Zonnebeke,16384612
Amblève,16382895
Vilvoorde,14902663
Eeklo,13053428
Marchienne-Au-Pont,11237808
Namêche,7565356
Willebroek,7215598
Ivoz-Ramet,6698144
Puurs-Sint-Amands,5605774
Hoogstraten,5219843
Olen,4802712
Ittre,3363446
Pittem,3177296
Ravels,3163542
Wuustwezel,3145741
Wervik,2957224
Torhout,2922837
Ingelmunster,2860162
Meerhout,2809629
Fleurus,2805924
Lo-Reninge,2723397
Zedelgem,2709642
Virginal-Samme,2599490
Deinze,2365401
Ardooie,2235111
Rijkevorsel,2221357
Tienen,2132632
Waregem,2014429
Leernes,1973775
Ploegsteert,1891247
Aye,1849984
Oostkamp,1801843
Thisnes,1746825
Diksmuide,1698684
Wingene,1643667
Assenede,1616157
Merksplas,1609280
Liedekerke,1606946
Comines,1588648
Aalter,1561139
Pipaix,1437348
Sainte-Marie-Chevigny,1299803
Heuvelland,1203521
Herent,1100513
Arendonk,1079730
Oupeye,1071360
Hooglede,1065976
Oud-Turnhout,1045344
Celles,1017835
Ligney,969694
Lichtervelde,962817
Nassogne,955940
Wevelgem,955072
Lommel,930214
Donceel,880290
Alveringem,873413
Nandrin,825272
Bas-Warneton,825272
Saint-Germain,825272
Tongeren,818394
Meulebeke,811517
Soignies,803473
Pepingen,797763
Maaseik,797763
Bocholt,790885
Waremme,790885
Jabbeke,784008
Comblain-Au-Pont,756499
Peer,749622
Beernem,728990
Moorslede,715236
Staden,694604
Langemark-Poelkapelle,694604
Ledegem,687726
Tielt,634237
Vaux-Sous-Chèvremont,57171
Ieper,5277
